대여소 명,대여 건수,대여일자/월
2329. 르네상스호텔사거리 역삼지하보도 2번출구,484,202206
1971. 오정초교 앞 보도육교,485,202206
2368. 도곡동 경남아파트 건너편,485,202206
159. 이대역 4번 출구,486,202206
4247. 서울서부지방법원등기국앞,486,202206
1731. 도봉고등학교 맞은편,487,202206
928. 은평역사한옥박물관,487,202206
2535.신반포역 3번출구 뒤,488,202206
1037. 강일리버파크 6단지,489,202206
4581. 국회소통관,490,202206
4807. 라코지스테이 앞,490,202206
2520.서초1교 (진흥아파트 방면),490,202206
2307. 압구정 한양 3차 아파트,492,202206
4622. 한강중학교 앞 버스정류장,495,202206
4883. 위례포레샤인18단지 1812동,497,202206
4607. 국립중앙박물관 -용산가족공원 앞,498,202206
4636. 용산구꿈나무종합타운 앞,498,202206
1161. 강서면허시험장 앞,499,202206
851.효창 푸르지오 앞,499,202206
3804. 낙성대공원,499,202206
4043. 상계주공13단지 1301동,500,202206
3682. 길동 동호빌딩,506,202206
4776. 신세계면세점,506,202206
4040. 공릉로 26길,507,202206
964. 북한산힐스테이트 7차아파트,507,202206
2380. 삼성동베이직하우스앞,508,202206
1477.면목삼익아파트 앞,509,202206
3799. 국립항공박물관,509,202206
1366. 일신초등학교 옆,509,202206
2825.초롱타운 앞,509,202206
869.노들섬 동측 앞,510,202206
4064. 신창아파트 입구 앞,510,202206
2370. 한티역 3번출구,511,202206
4604. 원효로다목적체육관 앞,512,202206
164. 북가좌1동 주민센터,512,202206
2280. 서울서초고용센터앞,513,202206
2376. 수서역 6번출구 앞,513,202206
1910. 낙원교회 맞은편,513,202206
2270. 서초포레스타 7단지,515,202206
2388. 강남구 도시관리공단,515,202206
1213. 백토공원 앞,516,202206
2272. 교대입구 교차로,517,202206
971. 역촌 센트레빌 아파트,519,202206
2241.양재전화국 사거리,520,202206
479.동대입구역 3번 출구,521,202206
4516. 신진빌라,521,202206
2083.흑석롯데캐슬에듀포레(107동),522,202206
1819. 금천구청 앞 자전거거치대,523,202206
534. 금호사거리,527,202206
1034. 고덕동 래미안 힐스테이트,528,202206
3547.상왕십리역 6번 출입구,528,202206
522. 금호역 1번출구 앞,528,202206
1571.북서울 꿈의 숲 입구,529,202206
2428.롯데리아 개포점앞,530,202206
967. 서울혁신파크2,530,202206
1967. 참새공원(백곡경노당),530,202206
3134.SK리쳄블(상수도사업본부),530,202206
3654. 강동리버스트4단지아파트 405동 앞,531,202206
120. 신수동 사거리,532,202206
2502. 서초역1번출구 앞,533,202206
2318. 삼성중앙역4번출구(문화센터더 리빌),534,202206
2323. 주식회사 오뚜기 정문 앞,534,202206
822. 이촌1동 마을공원,535,202206
2381. 언주역 6번출구앞,536,202206
4882. 위례포레샤인18단지 1802동,537,202206
1522. 월드전기조명인테리어(우이동),538,202206
2353. 강남구청역 2번출구 뒤,538,202206
1418. 새솔초등학교,538,202206
3968. 독산동 현대홈타운 금천과선교 앞,538,202206
1069.강동경희대학교병원 입구,539,202206
1258. 가락미륭아파트 앞,539,202206
3688. 상일동산(동아아파트앞 교차로),539,202206
139. 연세대 정문 건너편,541,202206
4485. 잠실나루역 고가하부,542,202206
2298. 래미안서초스위트앞,543,202206
4454. 위례 포레샤인 1809동 부근,543,202206
2818.천왕이펜하우스3단지 앞,543,202206
2907. 월계중학교,543,202206
1421. 신내역 4번출구,544,202206
489.구룡근린공원,544,202206
3006. 상암월드컵파크5단지(상암중학교),544,202206
621. 동대문중학교 옆,545,202206
469.회현역 1번출구,546,202206
2650.위례22단지 2208동 다리앞,549,202206
1679. 삼육대 도서관,549,202206
1863.위너스 스포츠클럽 골프연습장옆,550,202206
3636. 삼성중앙역·플래티넘아파트 정류소,551,202206
466.롯데호텔,551,202206
2143. 서울산업정보학교,553,202206
4579. 국회의사당 본관,554,202206
4045. 은하수 공원,555,202206
941. 은평뉴타운 도서관,555,202206
1992. 구로구배드민턴실내체육관 앞,555,202206
1504. 다이소 삼양시장점,556,202206
827. 국군복지단,559,202206
4248. 신촌 교보빌딩,559,202206
1826. 한신코아 앞,563,202206
1279. 마천금호어울림 1차아파트 건너편,564,202206
1853. 서울디자인직업전문학교 앞,565,202206
2088.상도중앙하이츠빌 입구,565,202206
2358. 구룡초사거리 (현대아파트10동 앞 ),566,202206
4718. 광화문역 6번출구 옆 A,567,202206
1058. 고덕숲 아이파크 1,569,202206
1717. 시립창동운동장 입구,570,202206
533. 금남시장 교차로,572,202206
1761.방학중학교 앞,572,202206
1539. 4.19민주묘지역,572,202206
1968. 동인오피스텔 건너편 소공원,573,202206
808. 서빙고동 금호맨션 앞,573,202206
1542. 삼양사거리역,574,202206
1436. 동원베네스트 건물 앞,575,202206
767.신정숲속마을아파트,575,202206
2336. 강남세브란스교차로 래미안그레이튼 104동 앞,576,202206
1546. 송천동우체국,578,202206
5072. 김포공항입구 교통섬,579,202206
4269. 연희IC 남측,580,202206
1547. 꿈의숲 롯데캐슬,582,202206
2527.반포중학교 앞(세화여고 맞은편),582,202206
491.월드컵파크 4단지,584,202206
2521.서초 크로바타워 앞,585,202206
4753. 우리은행 서소문금융센터,585,202206
4320. 신영체르니 아파트,586,202206
397. 종묘공영주차장 건너편,588,202206
857. 현대 안성타워,588,202206
1391.성북청소년센터,590,202206
2526.반포경남쇼핑 앞,590,202206
1479.면목 홈플러스 2,590,202206
4715. 돈의문 박물관 마을,590,202206
4116. 이문e편한세상아파트 앞,590,202206
3557.서울숲리버뷰자이APT105동 앞,592,202206
4610. 한남나인원 105동 앞,592,202206
2616. 거여동 사거리,593,202206
5305. 대륜E&S 서울지사 앞,593,202206
4678. 백련산로 녹번센트레빌,593,202206
1289. 풍납토성 서성벽터B,594,202206
2159. 인헌초교,594,202206
364. 창신역 1번출구 앞,595,202206
575. 대원중고교 입구(대하빌딩),595,202206
524. 래미안금호하이리버 아파트 102동 옆,595,202206
3640. 일원1동주민센터앞 사거리,597,202206
863.이촌역2번 출구,598,202206
1064.중앙보훈병원역 1번출구,599,202206
4017. 월계 청백1단지 아파트 정류장,599,202206
4519. 양원보도육교,600,202206
902. 진관동 은빛초등학교,600,202206
4766. 서소문성지역사박물관,601,202206
1466.두산대림아파트 삼거리,602,202206
1525. 미아동 복합청사,602,202206
2337. 대모산입구역 2번출구 앞,602,202206
3958. 롯데캐슬2차 마을버스 정류장(18804) 뒤편,604,202206
993.은평뉴타운 은뜨락아파트앞,604,202206
1652. 파르코 앞,605,202206
1843. 독산고등학교,606,202206
2331. 동영문화센터앞,606,202206
2048. 삼일초등학교 인근,607,202206
163. 명지전문대학교 정문 앞,609,202206
2822.제니스스포츠 앞,610,202206
137. 신촌기차역입구 교차로,610,202206
4785. 롯데시티호텔,612,202206
2281. 연세사랑병원신관앞,612,202206
480.약수역 6번 출구,615,202206
1511. 번동 금호어울림아파트102동앞,615,202206
1849. 대륭포스트타워5차,615,202206
2812.항동프라자,616,202206
526. 용답토속공원 앞,616,202206
3674. 강동리버스트7단지,619,202206
1105. 방화근린공원,619,202206
1239. 문정 법조단지3,620,202206
2539.대한무역투자진흥공사 KOTRA 앞,621,202206
5080. 가양역 1번출구,623,202206
2614. 가락고등학교 앞,625,202206
1774.반석교회(쌍문동),625,202206
942. 상림마을 생태공원,626,202206
1357. 북한산보국문역,626,202206
741. 화곡로 입구 교차로,627,202206
1079.강일동입구교차로,627,202206
4781. 브라운스위트레지던스,628,202206
2514.사평역 2번출구,628,202206
4475. 송파파인타운 4단지 403동,629,202206
477.앰배서더 호텔 주변,629,202206
535. 응봉삼거리,630,202206
1943. 온수역 북측,631,202206
4658. 녹번역1번출구앞,631,202206
2549.LH 서초 4단지 403동,633,202206
196. 연희교차로 인근,634,202206
1347. 길음래미안아파트817동 상가 앞,634,202206
1386.동선고가차도 초입,634,202206
664. 서울시립대 건설공학관,634,202206
594. 중랑물재생센터(서울새활용플라자),634,202206
2826.가마산지하보도 옆,635,202206
2129. 낙성대 과학전시관,635,202206
3419.국립어린이과학관,638,202206
434. 신당 래미안 버스정류장,639,202206
424. 롯데하이마트 (상암월드컵점),641,202206
3765. 문소빌딩,642,202206
2246. 서울시 품질시험소 앞,643,202206
169. 북가좌 삼거리,643,202206
811. 녹사평역1번출구,644,202206
2643.풍납중학교 측면,645,202206
1678. 성서대학교 밀알관,646,202206
3638. 신청담나들목,647,202206
4316. 고속터미널역 3번출구,647,202206
947. 연신내 선일하이츠빌 정류소,648,202206
3612. 은곡마을,649,202206
2410. 포스코피앤에스타워 (역삼역 3번출구 부근),650,202206
322. 명동성당 앞,654,202206
3609. 언주초등학교 입구,654,202206
2310. 청담동 맥도날드 옆(위치),655,202206
1509. 서울북부수도사업소,655,202206
1973. 오리로와 서해안도로 교차로 앞,656,202206
388. 동성중학교 앞,658,202206
671.대광빌딩,659,202206
4573. 두산위브아파트,661,202206
3641. 대청역,662,202206
2416.한티역 6번 출구,663,202206
1759.서울북부지방법원 앞,664,202206
1065.보훈병원 후문옆(더 원커피),665,202206
2914.서울과학기술대학교(미래관),665,202206
776.목마공원,666,202206
4474. 가락현대 1차 11동 앞,666,202206
1551.4.19탑 앞,667,202206
2137. KT&G 관악지점,668,202206
2518.서초3교(효령로70길 방면),669,202206
2645.잠실나들목2(엘스아파트136동),669,202206
2815.항동지구 7단지 정문,669,202206
4152. 상도효성해링턴플레이스,672,202206
3604. 삼성중앙역 5번출구,673,202206
